wmo_index,station_name,country_area,latitude_deg,longitude_deg,station_name_ja
64156,KALIMA,DEMOCRATIC REPUBLIC OF THE CONGO,-2.6,26.55,
64157,RUTSHURU,DEMOCRATIC REPUBLIC OF THE CONGO,-1.1833333333333333,29.45,
64159,UBUNDU,DEMOCRATIC REPUBLIC OF THE CONGO,-0.35,25.45,
64170,WALIKALE,DEMOCRATIC REPUBLIC OF THE CONGO,-1.4166666666666667,27.0,
64180,BUKAVU,DEMOCRATIC REPUBLIC OF THE CONGO,-2.5166666666666666,28.85,
64184,GOMA,DEMOCRATIC REPUBLIC OF THE CONGO,-1.6833333333333333,29.233333333333334,
64201,MOANDA,DEMOCRATIC REPUBLIC OF THE CONGO,-6.0,12.416666666666666,
64203,KITONA,DEMOCRATIC REPUBLIC OF THE CONGO,-5.916666666666667,12.45,
64204,BOMA,DEMOCRATIC REPUBLIC OF THE CONGO,-5.85,13.1,
64206,INGA,DEMOCRATIC REPUBLIC OF THE CONGO,-5.516666666666667,13.583333333333334,
64207,MATADI,DEMOCRATIC REPUBLIC OF THE CONGO,-5.8,13.433333333333334,
64209,LUOZI,DEMOCRATIC REPUBLIC OF THE CONGO,-4.95,14.133333333333333,
64210,KINSHASA/N'DJILI,DEMOCRATIC REPUBLIC OF THE CONGO,-4.383333333333334,15.433333333333334,
64211,KINSHASA/N'DOLO,DEMOCRATIC REPUBLIC OF THE CONGO,-4.316666666666666,15.316666666666666,
64217,KENGE,DEMOCRATIC REPUBLIC OF THE CONGO,-4.916666666666667,17.066666666666666,
64220,KINSHASA/BINZA,DEMOCRATIC REPUBLIC OF THE CONGO,-4.366666666666666,15.25,
64222,KIKWIT,DEMOCRATIC REPUBLIC OF THE CONGO,-5.033333333333333,18.8,
64224,ILEBO,DEMOCRATIC REPUBLIC OF THE CONGO,-4.333333333333333,20.583333333333332,
64228,TSHIKAPA,DEMOCRATIC REPUBLIC OF THE CONGO,-6.416666666666667,20.85,
64235,KANANGA,DEMOCRATIC REPUBLIC OF THE CONGO,-5.883333333333333,22.416666666666668,
64246,LUSAMBO,DEMOCRATIC REPUBLIC OF THE CONGO,-4.966666666666667,23.433333333333334,
64247,MBUJI-MAYI,DEMOCRATIC REPUBLIC OF THE CONGO,-6.166666666666667,23.616666666666667,
64248,LUPUTA,DEMOCRATIC REPUBLIC OF THE CONGO,-7.133333333333334,23.733333333333334,
64264,KASONGO,DEMOCRATIC REPUBLIC OF THE CONGO,-4.516666666666667,26.583333333333332,
64276,KONGOLO,DEMOCRATIC REPUBLIC OF THE CONGO,-5.35,27.0,
64282,MANONO,DEMOCRATIC REPUBLIC OF THE CONGO,-7.283333333333333,27.433333333333334,
64285,KALEMIE,DEMOCRATIC REPUBLIC OF THE CONGO,-5.883333333333333,29.183333333333334,
64301,DILOLO,DEMOCRATIC REPUBLIC OF THE CONGO,-10.683333333333334,22.333333333333332,
64303,SANDOA,DEMOCRATIC REPUBLIC OF THE CONGO,-9.633333333333333,22.85,
64315,KAMINA/BASE,DEMOCRATIC REPUBLIC OF THE CONGO,-8.633333333333333,25.25,
64328,KOLWEZI,DEMOCRATIC REPUBLIC OF THE CONGO,-10.716666666666667,25.45,
64348,MITWABA,DEMOCRATIC REPUBLIC OF THE CONGO,-8.6,27.333333333333332,
64360,LUBUMBASHI-LUANO,DEMOCRATIC REPUBLIC OF THE CONGO,-11.666666666666666,27.483333333333334,
64370,LUBUMBASHI-KARAVIA,DEMOCRATIC REPUBLIC OF THE CONGO,-11.65,27.466666666666665,
63125,DJIBOUTI,DJIBOUTI,11.55,43.15,
63145,OBOLEH,DJIBOUTI,11.166666666666666,42.71666666666667,
62301,SIDI BARRANI,EGYPT,31.616666666666667,25.9,
62305,SALLUM PLATEAU,EGYPT,31.57027777777778,25.131666666666668,
62306,MERSA MATRUH,EGYPT,31.325277777777778,27.221666666666664,
62309,DABAA,EGYPT,31.032777777777778,28.44472222222222,
62318,NOUZHA,EGYPT,31.18166666666667,29.94638888888889,
62324,ROSETTA,EGYPT,31.453611111111112,30.37027777777778,
62325,BALTIM,EGYPT,31.55388888888889,31.084444444444443,
62330,DAMIETTA,EGYPT,31.416666666666668,31.816666666666666,
62332,PORT SAID/EL GAMIL,EGYPT,31.278888888888886,32.23777777777778,
62335,RAFAH-AGRIMET,EGYPT,31.209166666666665,34.205555555555556,
62336,EL ARISH-AGRIMET,EGYPT,31.08861111111111,33.82166666666667,
62337,EL ARISH,EGYPT,31.073333333333334,33.83583333333333,
62345,TAHRIR,EGYPT,30.65,30.7,
62357,WADI EL NATROON AGRIMET,EGYPT,30.4025,30.363333333333333,
62360,SHEBIN EL KOM,EGYPT,30.6,31.016666666666666,
62366,CAIRO,EGYPT,30.11138888888889,31.413888888888888,
62369,BAHTIM AGRIMET,EGYPT,30.143333333333334,31.255,
62371,CAIRO H.Q,EGYPT,30.083333333333332,31.283333333333335,
62375,GIZA - AGRIMET,EGYPT,30.05,31.216666666666665,
62378,HELWAN,EGYPT,29.86277777777778,31.349166666666665,
62381,FAYOUM,EGYPT,29.3,30.85,
62387,MINYA,EGYPT,28.083333333333332,30.733333333333334,
62389,MALWY - AGRIMET,EGYPT,27.7,30.75,
62392,ASYUT - AGRIMET,EGYPT,27.2,31.166666666666668,
62393,ASYUT,EGYPT,27.03805555555556,31.011944444444445,
62398,SHOAG AIRPORT,EGYPT,26.342777777777776,31.74277777777778,
62403,SOUTH OF VALLEY UNIVERSITY,EGYPT,26.200277777777778,32.74666666666667,
62405,LUXOR,EGYPT,25.670833333333334,32.70638888888889,
62408,EDFOU,EGYPT,24.984444444444446,32.8325,
62414,ASSWAN,EGYPT,23.964444444444442,32.82,
62417,SIWA,EGYPT,29.2,25.483333333333334,
62419,ABU SIMBEL,EGYPT,22.375833333333333,31.611666666666668,
62420,BAHARIA,EGYPT,28.333333333333332,28.9,
62423,FARAFRA,EGYPT,27.058333333333334,27.989166666666666,
62425,SHARK-EL-OUINAT,EGYPT,22.583333333333332,28.71611111111111,
