year,date,day_of_year,month,day,event,station_name_jp,station_name_en,station_name_ja,jma_station_code,wmo_station_id,country_area,latitude_deg,longitude_deg
2025,2025-03-26,85,3,26,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1953,1953-04-10,100,4,10,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1954,1954-04-06,96,4,6,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1955,1955-04-05,95,4,5,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1956,1956-04-09,100,4,9,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1957,1957-04-11,101,4,11,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1958,1958-04-08,98,4,8,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1959,1959-04-05,95,4,5,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1960,1960-04-06,97,4,6,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1961,1961-04-06,96,4,6,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1962,1962-04-10,100,4,10,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1963,1963-04-11,101,4,11,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1964,1964-04-07,98,4,7,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1965,1965-04-11,101,4,11,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1966,1966-04-06,96,4,6,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
